Country,Visitors,Latitude,Longitude
Papua New Guinea,140000.0,-5.6816069,144.2489081
Poland,19622000.0,52.215933,19.134422
Puerto Rico,3068000.0,18.2247706,-66.4858295
Portugal,16186000.0,39.6621648,-8.1353519
Paraguay,1181000.0,-23.3165935,-58.1693445
West Bank and Gaza,606000.0,31.9049661,35.2023413
French Polynesia,216300.0,-17.0243749,-144.6434898
Qatar,1819300.0,25.3336984,51.2295295
Romania,11720000.0,45.9852129,24.6859225
Russian Federation,24551000.0,64.6863136,97.7453061
South Asia,26701056.8437404,1.3019037500000001,103.77750578747182
Saudi Arabia,15334000.0,25.6242618,42.3528328
Sudan,836000.0,34.0678644,-102.524362
Singapore,14673000.0,1.357107,103.8194992
Solomon Islands,27900.0,-8.7053941,159.1070693851845
Sierra Leone,57000.0,8.6400349,-11.8400269
El Salvador,1677300.0,13.8000382,-88.9140683
San Marino,84000.0,43.9458623,12.458306
Serbia,1711000.0,44.024322850000004,21.07657433209902
Small states,51165258.7141764,38.8846357,-77.0157343
Sao Tome and Principe,33400.0,0.9713095,7.02255
Slovak Republic,2256000.0,48.7411522,19.4528646
Slovenia,4425000.0,46.1199444,14.8153333
Sweden,7440000.0,59.6749712,14.5208584
Eswatini,782000.0,-26.5624806,31.3991317
Seychelles,362000.0,-4.6574977,55.4540146
Turks and Caicos Islands,441000.0,21.721746,-71.5527809
Togo,573000.0,8.7800265,1.0199765
Thailand,38178000.0,14.8971921,100.83273
Tajikistan,1035000.0,38.6281733,70.8156541
Timor-Leste,75000.0,-8.7443169,126.063482
Tonga,54000.0,-19.9160819,-175.202642
Trinidad and Tobago,375000.0,10.7466905,-61.0840075
Tunisia,8299000.0,36.8002068,10.1857757
Turkey,45768000.0,38.9597594,34.9249653
Tuvalu,2700.0,-8.6405212,179.1582918181797
Tanzania,1378000.0,-6.5247123,35.7878438
Ukraine,14104000.0,49.4871968,31.2718321
Uruguay,3469000.0,-32.8755548,-56.0201525
United States,79745920.0,39.7837304,-100.445882
Uzbekistan,5346000.0,41.32373,63.9528098
St. Vincent and the Grenadines,80000.0,12.90447,-61.2765569
British Virgin Islands,192000.0,18.4024395,-64.5661642
Virgin Islands (U.S.),381000.0,17.72912395,-64.7589156481904
Vietnam,15498000.0,15.9266657,107.9650855
Vanuatu,116000.0,-16.5255069,168.1069154
World,1441953149.14329,33.9744819,-118.269835
Samoa,164000.0,-13.7693895,-172.12005
South Africa,10472000.0,-28.8166236,24.991639
Zambia,1072000.0,-14.5189121,27.5589884
Zimbabwe,2580000.0,-18.4554963,29.7468414
